,finalBalance,totalTrades,drawDown,startingBalance,date,configs,parametres
21,182.94414755781042,1060,42.15,242.0,"['2022-06-01', '2022-10-04']","['timeframe=1h', 'maxpositions=2', 'useshort=true', 'uselong=true', 'nbofcandlesrecovered=500', 'totalinvestment=242.0', 'soldetosaveinvestisment=350.0', 'stopthebotifsoldedownbelow=200.0', 'usefixamountofusd=false', 'fixamount=5.0', 'usdallocated=0.5', 'repartitionlongandshort=false', 'defaultleverage=2', 'useblacklist=true', 'usewhitelist=false', 'sortbyrecentperf=false', 'classementminimum=75', 'nombredebougiesminimum=351', 'uselimitordertoopen=false', 'uselimitordertoclose=false', 'forcesell=true', 'usetakeprofit=true', 'usestoploss=true']","{'params': {'tpmultiplicator': 0.5, 'slmultiplicator': 0.2, 'trixlength': 10.0, 'trixsignal': 26.0, 'rsi_windows': 18.0, 'bb_windows_bull': 45.0, 'bb_windows_dev_bull': 1.2, 'bb_windows_bear': 44.0, 'bb_windows_dev_bear': 2.0, 'parametrepvo_bear': 8.0, 'parametrepvo_bull': 10.0, 'parametreperf_bull': 30.0, 'parametreperf_bear': 15.0, 'parametrepvo2': -18.0, 'parametreadxv_bull': -0.5, 'parametreadxv_bear': -0.5, 'parametretrix_histo_bull': 0.0, 'parametretrix_histo_bear': 0.0, 'parametrestoch_rsi_bull': 0.85, 'parametrestoch_rsi_bear': 0.87, 'parametrestoch_rsi2_bull': 0.22, 'parametrestoch_rsi2_bear': 0.23, 'parametretrix_histo2_bull': 0.0, 'parametretrix_histo2_bear': 0.02}}"
22,169.12384733974764,1071,44.92,242.0,"['2022-06-01', '2022-10-04']","['timeframe=1h', 'maxpositions=2', 'useshort=true', 'uselong=true', 'nbofcandlesrecovered=500', 'totalinvestment=242.0', 'soldetosaveinvestisment=350.0', 'stopthebotifsoldedownbelow=200.0', 'usefixamountofusd=false', 'fixamount=5.0', 'usdallocated=0.5', 'repartitionlongandshort=false', 'defaultleverage=2', 'useblacklist=true', 'usewhitelist=false', 'sortbyrecentperf=false', 'classementminimum=75', 'nombredebougiesminimum=351', 'uselimitordertoopen=false', 'uselimitordertoclose=false', 'forcesell=true', 'usetakeprofit=true', 'usestoploss=true']","{'params': {'tpmultiplicator': 0.5, 'slmultiplicator': 0.2, 'trixlength': 10.0, 'trixsignal': 27.0, 'rsi_windows': 12.0, 'bb_windows_bull': 45.0, 'bb_windows_dev_bull': 1.2, 'bb_windows_bear': 44.0, 'bb_windows_dev_bear': 2.0, 'parametrepvo_bear': 8.0, 'parametrepvo_bull': 10.0, 'parametreperf_bull': 30.0, 'parametreperf_bear': 15.0, 'parametrepvo2': -18.0, 'parametreadxv_bull': -0.5, 'parametreadxv_bear': -0.5, 'parametretrix_histo_bull': 0.0, 'parametretrix_histo_bear': 0.0, 'parametrestoch_rsi_bull': 0.85, 'parametrestoch_rsi_bear': 0.87, 'parametrestoch_rsi2_bull': 0.22, 'parametrestoch_rsi2_bear': 0.23, 'parametretrix_histo2_bull': 0.0, 'parametretrix_histo2_bear': 0.02}}"
23,164.02717950924114,1055,46.39,242.0,"['2022-06-01', '2022-10-04']","['timeframe=1h', 'maxpositions=2', 'useshort=true', 'uselong=true', 'nbofcandlesrecovered=500', 'totalinvestment=242.0', 'soldetosaveinvestisment=350.0', 'stopthebotifsoldedownbelow=200.0', 'usefixamountofusd=false', 'fixamount=5.0', 'usdallocated=0.5', 'repartitionlongandshort=false', 'defaultleverage=2', 'useblacklist=true', 'usewhitelist=false', 'sortbyrecentperf=false', 'classementminimum=75', 'nombredebougiesminimum=351', 'uselimitordertoopen=false', 'uselimitordertoclose=false', 'forcesell=true', 'usetakeprofit=true', 'usestoploss=true']","{'params': {'tpmultiplicator': 0.5, 'slmultiplicator': 0.2, 'trixlength': 10.0, 'trixsignal': 27.0, 'rsi_windows': 15.0, 'bb_windows_bull': 45.0, 'bb_windows_dev_bull': 1.2, 'bb_windows_bear': 44.0, 'bb_windows_dev_bear': 2.0, 'parametrepvo_bear': 8.0, 'parametrepvo_bull': 10.0, 'parametreperf_bull': 30.0, 'parametreperf_bear': 15.0, 'parametrepvo2': -18.0, 'parametreadxv_bull': -0.5, 'parametreadxv_bear': -0.5, 'parametretrix_histo_bull': 0.0, 'parametretrix_histo_bear': 0.0, 'parametrestoch_rsi_bull': 0.85, 'parametrestoch_rsi_bear': 0.87, 'parametrestoch_rsi2_bull': 0.22, 'parametrestoch_rsi2_bear': 0.23, 'parametretrix_histo2_bull': 0.0, 'parametretrix_histo2_bear': 0.02}}"
20,160.02917504172692,1058,48.07,242.0,"['2022-06-01', '2022-10-04']","['timeframe=1h', 'maxpositions=2', 'useshort=true', 'uselong=true', 'nbofcandlesrecovered=500', 'totalinvestment=242.0', 'soldetosaveinvestisment=350.0', 'stopthebotifsoldedownbelow=200.0', 'usefixamountofusd=false', 'fixamount=5.0', 'usdallocated=0.5', 'repartitionlongandshort=false', 'defaultleverage=2', 'useblacklist=true', 'usewhitelist=false', 'sortbyrecentperf=false', 'classementminimum=75', 'nombredebougiesminimum=351', 'uselimitordertoopen=false', 'uselimitordertoclose=false', 'forcesell=true', 'usetakeprofit=true', 'usestoploss=true']","{'params': {'tpmultiplicator': 0.5, 'slmultiplicator': 0.2, 'trixlength': 10.0, 'trixsignal': 26.0, 'rsi_windows': 15.0, 'bb_windows_bull': 45.0, 'bb_windows_dev_bull': 1.2, 'bb_windows_bear': 44.0, 'bb_windows_dev_bear': 2.0, 'parametrepvo_bear': 8.0, 'parametrepvo_bull': 10.0, 'parametreperf_bull': 30.0, 'parametreperf_bear': 15.0, 'parametrepvo2': -18.0, 'parametreadxv_bull': -0.5, 'parametreadxv_bear': -0.5, 'parametretrix_histo_bull': 0.0, 'parametretrix_histo_bear': 0.0, 'parametrestoch_rsi_bull': 0.85, 'parametrestoch_rsi_bear': 0.87, 'parametrestoch_rsi2_bull': 0.22, 'parametrestoch_rsi2_bear': 0.23, 'parametretrix_histo2_bull': 0.0, 'parametretrix_histo2_bear': 0.02}}"
18,157.43431321897026,1064,50.02,242.0,"['2022-06-01', '2022-10-04']","['timeframe=1h', 'maxpositions=2', 'useshort=true', 'uselong=true', 'nbofcandlesrecovered=500', 'totalinvestment=242.0', 'soldetosaveinvestisment=350.0', 'stopthebotifsoldedownbelow=200.0', 'usefixamountofusd=false', 'fixamount=5.0', 'usdallocated=0.5', 'repartitionlongandshort=false', 'defaultleverage=2', 'useblacklist=true', 'usewhitelist=false', 'sortbyrecentperf=false', 'classementminimum=75', 'nombredebougiesminimum=351', 'uselimitordertoopen=false', 'uselimitordertoclose=false', 'forcesell=true', 'usetakeprofit=true', 'usestoploss=true']","{'params': {'tpmultiplicator': 0.5, 'slmultiplicator': 0.2, 'trixlength': 10.0, 'trixsignal': 25.0, 'rsi_windows': 18.0, 'bb_windows_bull': 45.0, 'bb_windows_dev_bull': 1.2, 'bb_windows_bear': 44.0, 'bb_windows_dev_bear': 2.0, 'parametrepvo_bear': 8.0, 'parametrepvo_bull': 10.0, 'parametreperf_bull': 30.0, 'parametreperf_bear': 15.0, 'parametrepvo2': -18.0, 'parametreadxv_bull': -0.5, 'parametreadxv_bear': -0.5, 'parametretrix_histo_bull': 0.0, 'parametretrix_histo_bear': 0.0, 'parametrestoch_rsi_bull': 0.85, 'parametrestoch_rsi_bear': 0.87, 'parametrestoch_rsi2_bull': 0.22, 'parametrestoch_rsi2_bear': 0.23, 'parametretrix_histo2_bull': 0.0, 'parametretrix_histo2_bear': 0.02}}"
13,156.66452555783366,1075,49.33,242.0,"['2022-06-01', '2022-10-04']","['timeframe=1h', 'maxpositions=2', 'useshort=true', 'uselong=true', 'nbofcandlesrecovered=500', 'totalinvestment=242.0', 'soldetosaveinvestisment=350.0', 'stopthebotifsoldedownbelow=200.0', 'usefixamountofusd=false', 'fixamount=5.0', 'usdallocated=0.5', 'repartitionlongandshort=false', 'defaultleverage=2', 'useblacklist=true', 'usewhitelist=false', 'sortbyrecentperf=false', 'classementminimum=75', 'nombredebougiesminimum=351', 'uselimitordertoopen=false', 'uselimitordertoclose=false', 'forcesell=true', 'usetakeprofit=true', 'usestoploss=true']","{'params': {'tpmultiplicator': 0.5, 'slmultiplicator': 0.2, 'trixlength': 10.0, 'trixsignal': 24.0, 'rsi_windows': 12.0, 'bb_windows_bull': 45.0, 'bb_windows_dev_bull': 1.2, 'bb_windows_bear': 44.0, 'bb_windows_dev_bear': 2.0, 'parametrepvo_bear': 8.0, 'parametrepvo_bull': 10.0, 'parametreperf_bull': 30.0, 'parametreperf_bear': 15.0, 'parametrepvo2': -18.0, 'parametreadxv_bull': -0.5, 'parametreadxv_bear': -0.5, 'parametretrix_histo_bull': 0.0, 'parametretrix_histo_bear': 0.0, 'parametrestoch_rsi_bull': 0.85, 'parametrestoch_rsi_bear': 0.87, 'parametrestoch_rsi2_bull': 0.22, 'parametrestoch_rsi2_bear': 0.23, 'parametretrix_histo2_bull': 0.0, 'parametretrix_histo2_bear': 0.02}}"
17,156.53677103082833,1066,51.23,242.0,"['2022-06-01', '2022-10-04']","['timeframe=1h', 'maxpositions=2', 'useshort=true', 'uselong=true', 'nbofcandlesrecovered=500', 'totalinvestment=242.0', 'soldetosaveinvestisment=350.0', 'stopthebotifsoldedownbelow=200.0', 'usefixamountofusd=false', 'fixamount=5.0', 'usdallocated=0.5', 'repartitionlongandshort=false', 'defaultleverage=2', 'useblacklist=true', 'usewhitelist=false', 'sortbyrecentperf=false', 'classementminimum=75', 'nombredebougiesminimum=351', 'uselimitordertoopen=false', 'uselimitordertoclose=false', 'forcesell=true', 'usetakeprofit=true', 'usestoploss=true']","{'params': {'tpmultiplicator': 0.5, 'slmultiplicator': 0.2, 'trixlength': 10.0, 'trixsignal': 25.0, 'rsi_windows': 15.0, 'bb_windows_bull': 45.0, 'bb_windows_dev_bull': 1.2, 'bb_windows_bear': 44.0, 'bb_windows_dev_bear': 2.0, 'parametrepvo_bear': 8.0, 'parametrepvo_bull': 10.0, 'parametreperf_bull': 30.0, 'parametreperf_bear': 15.0, 'parametrepvo2': -18.0, 'parametreadxv_bull': -0.5, 'parametreadxv_bear': -0.5, 'parametretrix_histo_bull': 0.0, 'parametretrix_histo_bear': 0.0, 'parametrestoch_rsi_bull': 0.85, 'parametrestoch_rsi_bear': 0.87, 'parametrestoch_rsi2_bull': 0.22, 'parametrestoch_rsi2_bear': 0.23, 'parametretrix_histo2_bull': 0.0, 'parametretrix_histo2_bear': 0.02}}"
3,154.96687361368163,1091,51.81,242.0,"['2022-06-01', '2022-10-04']","['timeframe=1h', 'maxpositions=2', 'useshort=true', 'uselong=true', 'nbofcandlesrecovered=500', 'totalinvestment=242.0', 'soldetosaveinvestisment=350.0', 'stopthebotifsoldedownbelow=200.0', 'usefixamountofusd=false', 'fixamount=5.0', 'usdallocated=0.5', 'repartitionlongandshort=false', 'defaultleverage=2', 'useblacklist=true', 'usewhitelist=false', 'sortbyrecentperf=false', 'classementminimum=75', 'nombredebougiesminimum=351', 'uselimitordertoopen=false', 'uselimitordertoclose=false', 'forcesell=true', 'usetakeprofit=true', 'usestoploss=true']","{'params': {'tpmultiplicator': 0.5, 'slmultiplicator': 0.2, 'trixlength': 10.0, 'trixsignal': 20.0, 'rsi_windows': 18.0, 'bb_windows_bull': 45.0, 'bb_windows_dev_bull': 1.2, 'bb_windows_bear': 44.0, 'bb_windows_dev_bear': 2.0, 'parametrepvo_bear': 8.0, 'parametrepvo_bull': 10.0, 'parametreperf_bull': 30.0, 'parametreperf_bear': 15.0, 'parametrepvo2': -18.0, 'parametreadxv_bull': -0.5, 'parametreadxv_bear': -0.5, 'parametretrix_histo_bull': 0.0, 'parametretrix_histo_bear': 0.0, 'parametrestoch_rsi_bull': 0.85, 'parametrestoch_rsi_bear': 0.87, 'parametrestoch_rsi2_bull': 0.22, 'parametrestoch_rsi2_bear': 0.23, 'parametretrix_histo2_bull': 0.0, 'parametretrix_histo2_bear': 0.02}}"
14,150.87683844850886,1065,52.32,242.0,"['2022-06-01', '2022-10-04']","['timeframe=1h', 'maxpositions=2', 'useshort=true', 'uselong=true', 'nbofcandlesrecovered=500', 'totalinvestment=242.0', 'soldetosaveinvestisment=350.0', 'stopthebotifsoldedownbelow=200.0', 'usefixamountofusd=false', 'fixamount=5.0', 'usdallocated=0.5', 'repartitionlongandshort=false', 'defaultleverage=2', 'useblacklist=true', 'usewhitelist=false', 'sortbyrecentperf=false', 'classementminimum=75', 'nombredebougiesminimum=351', 'uselimitordertoopen=false', 'uselimitordertoclose=false', 'forcesell=true', 'usetakeprofit=true', 'usestoploss=true']","{'params': {'tpmultiplicator': 0.5, 'slmultiplicator': 0.2, 'trixlength': 10.0, 'trixsignal': 24.0, 'rsi_windows': 15.0, 'bb_windows_bull': 45.0, 'bb_windows_dev_bull': 1.2, 'bb_windows_bear': 44.0, 'bb_windows_dev_bear': 2.0, 'parametrepvo_bear': 8.0, 'parametrepvo_bull': 10.0, 'parametreperf_bull': 30.0, 'parametreperf_bear': 15.0, 'parametrepvo2': -18.0, 'parametreadxv_bull': -0.5, 'parametreadxv_bear': -0.5, 'parametretrix_histo_bull': 0.0, 'parametretrix_histo_bear': 0.0, 'parametrestoch_rsi_bull': 0.85, 'parametrestoch_rsi_bear': 0.87, 'parametrestoch_rsi2_bull': 0.22, 'parametrestoch_rsi2_bear': 0.23, 'parametretrix_histo2_bull': 0.0, 'parametretrix_histo2_bear': 0.02}}"
16,147.99896648888756,1057,52.7,242.0,"['2022-06-01', '2022-10-04']","['timeframe=1h', 'maxpositions=2', 'useshort=true', 'uselong=true', 'nbofcandlesrecovered=500', 'totalinvestment=242.0', 'soldetosaveinvestisment=350.0', 'stopthebotifsoldedownbelow=200.0', 'usefixamountofusd=false', 'fixamount=5.0', 'usdallocated=0.5', 'repartitionlongandshort=false', 'defaultleverage=2', 'useblacklist=true', 'usewhitelist=false', 'sortbyrecentperf=false', 'classementminimum=75', 'nombredebougiesminimum=351', 'uselimitordertoopen=false', 'uselimitordertoclose=false', 'forcesell=true', 'usetakeprofit=true', 'usestoploss=true']","{'params': {'tpmultiplicator': 0.5, 'slmultiplicator': 0.2, 'trixlength': 10.0, 'trixsignal': 25.0, 'rsi_windows': 12.0, 'bb_windows_bull': 45.0, 'bb_windows_dev_bull': 1.2, 'bb_windows_bear': 44.0, 'bb_windows_dev_bear': 2.0, 'parametrepvo_bear': 8.0, 'parametrepvo_bull': 10.0, 'parametreperf_bull': 30.0, 'parametreperf_bear': 15.0, 'parametrepvo2': -18.0, 'parametreadxv_bull': -0.5, 'parametreadxv_bear': -0.5, 'parametretrix_histo_bull': 0.0, 'parametretrix_histo_bear': 0.0, 'parametrestoch_rsi_bull': 0.85, 'parametrestoch_rsi_bear': 0.87, 'parametrestoch_rsi2_bull': 0.22, 'parametrestoch_rsi2_bear': 0.23, 'parametretrix_histo2_bull': 0.0, 'parametretrix_histo2_bear': 0.02}}"
