,finalBalance,totalTrades,drawDown,startingBalance,configs,parametres
3,187.5822355420163,887,41.82,242.0,"['DEFAULT', 'params', 'CONFIGS', 'STRATEGIE', 'FICHIER.HISTORIQUE']","{'params': {'tpmultiplicator': 0.75, 'slmultiplicator': 0.25, 'trixlength': 8.0, 'trixsignal': 22.0, 'rsi_windows': 14.0, 'bb_windows_bull': 45.0, 'bb_windows_dev_bull': 1.2, 'bb_windows_bear': 44.0, 'bb_windows_dev_bear': 2.0, 'parametrepvo_bear': 8.0, 'parametrepvo_bull': 10.0, 'parametreperf_bull': 30.0, 'parametreperf_bear': 15.0, 'parametrepvo2': -18.0, 'parametreadxv_bull': -0.5, 'parametreadxv_bear': -0.5, 'parametretrix_histo_bull': 0.0, 'parametretrix_histo_bear': 0.0, 'parametrestoch_rsi_bull': 0.85, 'parametrestoch_rsi_bear': 0.87, 'parametrestoch_rsi2_bull': 0.22, 'parametrestoch_rsi2_bear': 0.23, 'parametretrix_histo2_bull': 0.0, 'parametretrix_histo2_bear': 0.02}}"
6,184.38598581114823,614,44.79,242.0,"['DEFAULT', 'params', 'CONFIGS', 'STRATEGIE', 'FICHIER.HISTORIQUE']","{'params': {'tpmultiplicator': 1.5, 'slmultiplicator': 0.25, 'trixlength': 8.0, 'trixsignal': 22.0, 'rsi_windows': 14.0, 'bb_windows_bull': 45.0, 'bb_windows_dev_bull': 1.2, 'bb_windows_bear': 44.0, 'bb_windows_dev_bear': 2.0, 'parametrepvo_bear': 8.0, 'parametrepvo_bull': 10.0, 'parametreperf_bull': 30.0, 'parametreperf_bear': 15.0, 'parametrepvo2': -18.0, 'parametreadxv_bull': -0.5, 'parametreadxv_bear': -0.5, 'parametretrix_histo_bull': 0.0, 'parametretrix_histo_bear': 0.0, 'parametrestoch_rsi_bull': 0.85, 'parametrestoch_rsi_bear': 0.87, 'parametrestoch_rsi2_bull': 0.22, 'parametrestoch_rsi2_bear': 0.23, 'parametretrix_histo2_bull': 0.0, 'parametretrix_histo2_bear': 0.02}}"
4,173.30002229417286,741,45.44,242.0,"['DEFAULT', 'params', 'CONFIGS', 'STRATEGIE', 'FICHIER.HISTORIQUE']","{'params': {'tpmultiplicator': 1.0, 'slmultiplicator': 0.25, 'trixlength': 8.0, 'trixsignal': 22.0, 'rsi_windows': 14.0, 'bb_windows_bull': 45.0, 'bb_windows_dev_bull': 1.2, 'bb_windows_bear': 44.0, 'bb_windows_dev_bear': 2.0, 'parametrepvo_bear': 8.0, 'parametrepvo_bull': 10.0, 'parametreperf_bull': 30.0, 'parametreperf_bear': 15.0, 'parametrepvo2': -18.0, 'parametreadxv_bull': -0.5, 'parametreadxv_bear': -0.5, 'parametretrix_histo_bull': 0.0, 'parametretrix_histo_bear': 0.0, 'parametrestoch_rsi_bull': 0.85, 'parametrestoch_rsi_bear': 0.87, 'parametrestoch_rsi2_bull': 0.22, 'parametrestoch_rsi2_bear': 0.23, 'parametretrix_histo2_bull': 0.0, 'parametretrix_histo2_bear': 0.02}}"
5,165.04462386308415,672,47.57,242.0,"['DEFAULT', 'params', 'CONFIGS', 'STRATEGIE', 'FICHIER.HISTORIQUE']","{'params': {'tpmultiplicator': 1.25, 'slmultiplicator': 0.25, 'trixlength': 8.0, 'trixsignal': 22.0, 'rsi_windows': 14.0, 'bb_windows_bull': 45.0, 'bb_windows_dev_bull': 1.2, 'bb_windows_bear': 44.0, 'bb_windows_dev_bear': 2.0, 'parametrepvo_bear': 8.0, 'parametrepvo_bull': 10.0, 'parametreperf_bull': 30.0, 'parametreperf_bear': 15.0, 'parametrepvo2': -18.0, 'parametreadxv_bull': -0.5, 'parametreadxv_bear': -0.5, 'parametretrix_histo_bull': 0.0, 'parametretrix_histo_bear': 0.0, 'parametrestoch_rsi_bull': 0.85, 'parametrestoch_rsi_bear': 0.87, 'parametrestoch_rsi2_bull': 0.22, 'parametrestoch_rsi2_bear': 0.23, 'parametretrix_histo2_bull': 0.0, 'parametretrix_histo2_bear': 0.02}}"
21,154.1786535816627,918,42.49,242.0,"['DEFAULT', 'params', 'CONFIGS', 'STRATEGIE', 'FICHIER.HISTORIQUE']","{'params': {'tpmultiplicator': 0.9999999999999999, 'slmultiplicator': 0.1, 'trixlength': 6.0, 'trixsignal': 14.0, 'rsi_windows': 10.0, 'bb_windows_bull': 45.0, 'bb_windows_dev_bull': 1.2, 'bb_windows_bear': 44.0, 'bb_windows_dev_bear': 2.0, 'parametrepvo_bear': 8.0, 'parametrepvo_bull': 10.0, 'parametreperf_bull': 30.0, 'parametreperf_bear': 15.0, 'parametrepvo2': -18.0, 'parametreadxv_bull': -0.5, 'parametreadxv_bear': -0.5, 'parametretrix_histo_bull': 0.0, 'parametretrix_histo_bear': 0.0, 'parametrestoch_rsi_bull': 0.85, 'parametrestoch_rsi_bear': 0.87, 'parametrestoch_rsi2_bull': 0.22, 'parametrestoch_rsi2_bear': 0.23, 'parametretrix_histo2_bull': 0.0, 'parametretrix_histo2_bear': 0.02}}"
18,151.60740306980313,1092,41.81,242.0,"['DEFAULT', 'params', 'CONFIGS', 'STRATEGIE', 'FICHIER.HISTORIQUE']","{'params': {'tpmultiplicator': 0.7, 'slmultiplicator': 0.1, 'trixlength': 6.0, 'trixsignal': 14.0, 'rsi_windows': 10.0, 'bb_windows_bull': 45.0, 'bb_windows_dev_bull': 1.2, 'bb_windows_bear': 44.0, 'bb_windows_dev_bear': 2.0, 'parametrepvo_bear': 8.0, 'parametrepvo_bull': 10.0, 'parametreperf_bull': 30.0, 'parametreperf_bear': 15.0, 'parametrepvo2': -18.0, 'parametreadxv_bull': -0.5, 'parametreadxv_bear': -0.5, 'parametretrix_histo_bull': 0.0, 'parametretrix_histo_bear': 0.0, 'parametrestoch_rsi_bull': 0.85, 'parametrestoch_rsi_bear': 0.87, 'parametrestoch_rsi2_bull': 0.22, 'parametrestoch_rsi2_bear': 0.23, 'parametretrix_histo2_bull': 0.0, 'parametretrix_histo2_bear': 0.02}}"
22,147.24265818490932,862,43.1,242.0,"['DEFAULT', 'params', 'CONFIGS', 'STRATEGIE', 'FICHIER.HISTORIQUE']","{'params': {'tpmultiplicator': 1.0999999999999999, 'slmultiplicator': 0.1, 'trixlength': 6.0, 'trixsignal': 14.0, 'rsi_windows': 10.0, 'bb_windows_bull': 45.0, 'bb_windows_dev_bull': 1.2, 'bb_windows_bear': 44.0, 'bb_windows_dev_bear': 2.0, 'parametrepvo_bear': 8.0, 'parametrepvo_bull': 10.0, 'parametreperf_bull': 30.0, 'parametreperf_bear': 15.0, 'parametrepvo2': -18.0, 'parametreadxv_bull': -0.5, 'parametreadxv_bear': -0.5, 'parametretrix_histo_bull': 0.0, 'parametretrix_histo_bear': 0.0, 'parametrestoch_rsi_bull': 0.85, 'parametrestoch_rsi_bear': 0.87, 'parametrestoch_rsi2_bull': 0.22, 'parametrestoch_rsi2_bear': 0.23, 'parametretrix_histo2_bull': 0.0, 'parametretrix_histo2_bear': 0.02}}"
2,145.00612649362466,1096,51.75,242.0,"['DEFAULT', 'params', 'CONFIGS', 'STRATEGIE', 'FICHIER.HISTORIQUE']","{'params': {'tpmultiplicator': 0.5, 'slmultiplicator': 0.25, 'trixlength': 8.0, 'trixsignal': 22.0, 'rsi_windows': 14.0, 'bb_windows_bull': 45.0, 'bb_windows_dev_bull': 1.2, 'bb_windows_bear': 44.0, 'bb_windows_dev_bear': 2.0, 'parametrepvo_bear': 8.0, 'parametrepvo_bull': 10.0, 'parametreperf_bull': 30.0, 'parametreperf_bear': 15.0, 'parametrepvo2': -18.0, 'parametreadxv_bull': -0.5, 'parametreadxv_bear': -0.5, 'parametretrix_histo_bull': 0.0, 'parametretrix_histo_bear': 0.0, 'parametrestoch_rsi_bull': 0.85, 'parametrestoch_rsi_bear': 0.87, 'parametrestoch_rsi2_bull': 0.22, 'parametrestoch_rsi2_bear': 0.23, 'parametretrix_histo2_bull': 0.0, 'parametretrix_histo2_bear': 0.02}}"
17,138.5295273822278,1166,45.89,242.0,"['DEFAULT', 'params', 'CONFIGS', 'STRATEGIE', 'FICHIER.HISTORIQUE']","{'params': {'tpmultiplicator': 0.6, 'slmultiplicator': 0.1, 'trixlength': 6.0, 'trixsignal': 14.0, 'rsi_windows': 10.0, 'bb_windows_bull': 45.0, 'bb_windows_dev_bull': 1.2, 'bb_windows_bear': 44.0, 'bb_windows_dev_bear': 2.0, 'parametrepvo_bear': 8.0, 'parametrepvo_bull': 10.0, 'parametreperf_bull': 30.0, 'parametreperf_bear': 15.0, 'parametrepvo2': -18.0, 'parametreadxv_bull': -0.5, 'parametreadxv_bear': -0.5, 'parametretrix_histo_bull': 0.0, 'parametretrix_histo_bear': 0.0, 'parametrestoch_rsi_bull': 0.85, 'parametrestoch_rsi_bear': 0.87, 'parametrestoch_rsi2_bull': 0.22, 'parametrestoch_rsi2_bear': 0.23, 'parametretrix_histo2_bull': 0.0, 'parametretrix_histo2_bear': 0.02}}"
19,138.40898708566783,1015,45.64,242.0,"['DEFAULT', 'params', 'CONFIGS', 'STRATEGIE', 'FICHIER.HISTORIQUE']","{'params': {'tpmultiplicator': 0.7999999999999999, 'slmultiplicator': 0.1, 'trixlength': 6.0, 'trixsignal': 14.0, 'rsi_windows': 10.0, 'bb_windows_bull': 45.0, 'bb_windows_dev_bull': 1.2, 'bb_windows_bear': 44.0, 'bb_windows_dev_bear': 2.0, 'parametrepvo_bear': 8.0, 'parametrepvo_bull': 10.0, 'parametreperf_bull': 30.0, 'parametreperf_bear': 15.0, 'parametrepvo2': -18.0, 'parametreadxv_bull': -0.5, 'parametreadxv_bear': -0.5, 'parametretrix_histo_bull': 0.0, 'parametretrix_histo_bear': 0.0, 'parametrestoch_rsi_bull': 0.85, 'parametrestoch_rsi_bear': 0.87, 'parametrestoch_rsi2_bull': 0.22, 'parametrestoch_rsi2_bear': 0.23, 'parametretrix_histo2_bull': 0.0, 'parametretrix_histo2_bear': 0.02}}"
