,finalBalance,totalTrades,drawDown,startingBalance,configs,parametres
504,91.73428203318659,1173,14.79,63.0,"['timeframe', 'maxpositions', 'useshort', 'uselong', 'nbofcandlesrecovered', 'totalinvestment', 'usefixamountofusd', 'fixamount', 'usdallocated', 'soldetosaveinvestisment', 'stopthebotifsoldedownbelow', 'repartitionlongandshort', 'defaultleverage', 'useblacklist', 'usewhitelist', 'sortbyrecentperf', 'classementminimum', 'nombredebougiesminimum', 'uselimitordertoopen', 'uselimitordertoclose', 'forcesell', 'usetakeprofit', 'usestoploss']","{'params': {'tpmultiplicator': 1.0, 'slmultiplicator': 0.2, 'st_length': 7.0, 'st_multiplier': 3.5, 'ema_short_windows': 30.0, 'ema_long_windows': 150.0}}"
505,83.99108090346675,1164,18.67,63.0,"['timeframe', 'maxpositions', 'useshort', 'uselong', 'nbofcandlesrecovered', 'totalinvestment', 'usefixamountofusd', 'fixamount', 'usdallocated', 'soldetosaveinvestisment', 'stopthebotifsoldedownbelow', 'repartitionlongandshort', 'defaultleverage', 'useblacklist', 'usewhitelist', 'sortbyrecentperf', 'classementminimum', 'nombredebougiesminimum', 'uselimitordertoopen', 'uselimitordertoclose', 'forcesell', 'usetakeprofit', 'usestoploss']","{'params': {'tpmultiplicator': 1.0, 'slmultiplicator': 0.2, 'st_length': 7.0, 'st_multiplier': 3.5, 'ema_short_windows': 30.0, 'ema_long_windows': 200.0}}"
548,80.66719472899932,1145,18.22,63.0,"['timeframe', 'maxpositions', 'useshort', 'uselong', 'nbofcandlesrecovered', 'totalinvestment', 'usefixamountofusd', 'fixamount', 'usdallocated', 'soldetosaveinvestisment', 'stopthebotifsoldedownbelow', 'repartitionlongandshort', 'defaultleverage', 'useblacklist', 'usewhitelist', 'sortbyrecentperf', 'classementminimum', 'nombredebougiesminimum', 'uselimitordertoopen', 'uselimitordertoclose', 'forcesell', 'usetakeprofit', 'usestoploss']","{'params': {'tpmultiplicator': 1.0, 'slmultiplicator': 0.2, 'st_length': 7.0, 'st_multiplier': 3.5, 'ema_short_windows': 55.0, 'ema_long_windows': 100.0}}"
503,80.30275496092575,1200,15.54,63.0,"['timeframe', 'maxpositions', 'useshort', 'uselong', 'nbofcandlesrecovered', 'totalinvestment', 'usefixamountofusd', 'fixamount', 'usdallocated', 'soldetosaveinvestisment', 'stopthebotifsoldedownbelow', 'repartitionlongandshort', 'defaultleverage', 'useblacklist', 'usewhitelist', 'sortbyrecentperf', 'classementminimum', 'nombredebougiesminimum', 'uselimitordertoopen', 'uselimitordertoclose', 'forcesell', 'usetakeprofit', 'usestoploss']","{'params': {'tpmultiplicator': 1.0, 'slmultiplicator': 0.2, 'st_length': 7.0, 'st_multiplier': 3.5, 'ema_short_windows': 30.0, 'ema_long_windows': 100.0}}"
692,79.56893899904989,1085,15.9,63.0,"['timeframe', 'maxpositions', 'useshort', 'uselong', 'nbofcandlesrecovered', 'totalinvestment', 'usefixamountofusd', 'fixamount', 'usdallocated', 'soldetosaveinvestisment', 'stopthebotifsoldedownbelow', 'repartitionlongandshort', 'defaultleverage', 'useblacklist', 'usewhitelist', 'sortbyrecentperf', 'classementminimum', 'nombredebougiesminimum', 'uselimitordertoopen', 'uselimitordertoclose', 'forcesell', 'usetakeprofit', 'usestoploss']","{'params': {'tpmultiplicator': 1.0, 'slmultiplicator': 0.2, 'st_length': 7.0, 'st_multiplier': 4.5, 'ema_short_windows': 35.0, 'ema_long_windows': 100.0}}"
513,75.47567061860371,1119,24.21,63.0,"['timeframe', 'maxpositions', 'useshort', 'uselong', 'nbofcandlesrecovered', 'totalinvestment', 'usefixamountofusd', 'fixamount', 'usdallocated', 'soldetosaveinvestisment', 'stopthebotifsoldedownbelow', 'repartitionlongandshort', 'defaultleverage', 'useblacklist', 'usewhitelist', 'sortbyrecentperf', 'classementminimum', 'nombredebougiesminimum', 'uselimitordertoopen', 'uselimitordertoclose', 'forcesell', 'usetakeprofit', 'usestoploss']","{'params': {'tpmultiplicator': 1.0, 'slmultiplicator': 0.2, 'st_length': 7.0, 'st_multiplier': 3.5, 'ema_short_windows': 35.0, 'ema_long_windows': 150.0}}"
497,74.18296807786194,1136,19.97,63.0,"['timeframe', 'maxpositions', 'useshort', 'uselong', 'nbofcandlesrecovered', 'totalinvestment', 'usefixamountofusd', 'fixamount', 'usdallocated', 'soldetosaveinvestisment', 'stopthebotifsoldedownbelow', 'repartitionlongandshort', 'defaultleverage', 'useblacklist', 'usewhitelist', 'sortbyrecentperf', 'classementminimum', 'nombredebougiesminimum', 'uselimitordertoopen', 'uselimitordertoclose', 'forcesell', 'usetakeprofit', 'usestoploss']","{'params': {'tpmultiplicator': 1.0, 'slmultiplicator': 0.2, 'st_length': 7.0, 'st_multiplier': 3.5, 'ema_short_windows': 25.0, 'ema_long_windows': 250.0}}"
506,73.49853142638844,1116,24.24,63.0,"['timeframe', 'maxpositions', 'useshort', 'uselong', 'nbofcandlesrecovered', 'totalinvestment', 'usefixamountofusd', 'fixamount', 'usdallocated', 'soldetosaveinvestisment', 'stopthebotifsoldedownbelow', 'repartitionlongandshort', 'defaultleverage', 'useblacklist', 'usewhitelist', 'sortbyrecentperf', 'classementminimum', 'nombredebougiesminimum', 'uselimitordertoopen', 'uselimitordertoclose', 'forcesell', 'usetakeprofit', 'usestoploss']","{'params': {'tpmultiplicator': 1.0, 'slmultiplicator': 0.2, 'st_length': 7.0, 'st_multiplier': 3.5, 'ema_short_windows': 30.0, 'ema_long_windows': 250.0}}"
479,72.90941654518096,1158,22.83,63.0,"['timeframe', 'maxpositions', 'useshort', 'uselong', 'nbofcandlesrecovered', 'totalinvestment', 'usefixamountofusd', 'fixamount', 'usdallocated', 'soldetosaveinvestisment', 'stopthebotifsoldedownbelow', 'repartitionlongandshort', 'defaultleverage', 'useblacklist', 'usewhitelist', 'sortbyrecentperf', 'classementminimum', 'nombredebougiesminimum', 'uselimitordertoopen', 'uselimitordertoclose', 'forcesell', 'usetakeprofit', 'usestoploss']","{'params': {'tpmultiplicator': 1.0, 'slmultiplicator': 0.2, 'st_length': 7.0, 'st_multiplier': 3.5, 'ema_short_windows': 15.0, 'ema_long_windows': 250.0}}"
694,72.50695223822186,1018,24.85,63.0,"['timeframe', 'maxpositions', 'useshort', 'uselong', 'nbofcandlesrecovered', 'totalinvestment', 'usefixamountofusd', 'fixamount', 'usdallocated', 'soldetosaveinvestisment', 'stopthebotifsoldedownbelow', 'repartitionlongandshort', 'defaultleverage', 'useblacklist', 'usewhitelist', 'sortbyrecentperf', 'classementminimum', 'nombredebougiesminimum', 'uselimitordertoopen', 'uselimitordertoclose', 'forcesell', 'usetakeprofit', 'usestoploss']","{'params': {'tpmultiplicator': 1.0, 'slmultiplicator': 0.2, 'st_length': 7.0, 'st_multiplier': 4.5, 'ema_short_windows': 35.0, 'ema_long_windows': 200.0}}"
487,72.22954295237366,1206,19.58,63.0,"['timeframe', 'maxpositions', 'useshort', 'uselong', 'nbofcandlesrecovered', 'totalinvestment', 'usefixamountofusd', 'fixamount', 'usdallocated', 'soldetosaveinvestisment', 'stopthebotifsoldedownbelow', 'repartitionlongandshort', 'defaultleverage', 'useblacklist', 'usewhitelist', 'sortbyrecentperf', 'classementminimum', 'nombredebougiesminimum', 'uselimitordertoopen', 'uselimitordertoclose', 'forcesell', 'usetakeprofit', 'usestoploss']","{'params': {'tpmultiplicator': 1.0, 'slmultiplicator': 0.2, 'st_length': 7.0, 'st_multiplier': 3.5, 'ema_short_windows': 20.0, 'ema_long_windows': 200.0}}"
674,72.17806500941956,1107,16.41,63.0,"['timeframe', 'maxpositions', 'useshort', 'uselong', 'nbofcandlesrecovered', 'totalinvestment', 'usefixamountofusd', 'fixamount', 'usdallocated', 'soldetosaveinvestisment', 'stopthebotifsoldedownbelow', 'repartitionlongandshort', 'defaultleverage', 'useblacklist', 'usewhitelist', 'sortbyrecentperf', 'classementminimum', 'nombredebougiesminimum', 'uselimitordertoopen', 'uselimitordertoclose', 'forcesell', 'usetakeprofit', 'usestoploss']","{'params': {'tpmultiplicator': 1.0, 'slmultiplicator': 0.2, 'st_length': 7.0, 'st_multiplier': 4.5, 'ema_short_windows': 25.0, 'ema_long_windows': 100.0}}"
477,72.11627690284463,1255,17.84,63.0,"['timeframe', 'maxpositions', 'useshort', 'uselong', 'nbofcandlesrecovered', 'totalinvestment', 'usefixamountofusd', 'fixamount', 'usdallocated', 'soldetosaveinvestisment', 'stopthebotifsoldedownbelow', 'repartitionlongandshort', 'defaultleverage', 'useblacklist', 'usewhitelist', 'sortbyrecentperf', 'classementminimum', 'nombredebougiesminimum', 'uselimitordertoopen', 'uselimitordertoclose', 'forcesell', 'usetakeprofit', 'usestoploss']","{'params': {'tpmultiplicator': 1.0, 'slmultiplicator': 0.2, 'st_length': 7.0, 'st_multiplier': 3.5, 'ema_short_windows': 15.0, 'ema_long_windows': 150.0}}"
683,71.9367696759499,1085,17.78,63.0,"['timeframe', 'maxpositions', 'useshort', 'uselong', 'nbofcandlesrecovered', 'totalinvestment', 'usefixamountofusd', 'fixamount', 'usdallocated', 'soldetosaveinvestisment', 'stopthebotifsoldedownbelow', 'repartitionlongandshort', 'defaultleverage', 'useblacklist', 'usewhitelist', 'sortbyrecentperf', 'classementminimum', 'nombredebougiesminimum', 'uselimitordertoopen', 'uselimitordertoclose', 'forcesell', 'usetakeprofit', 'usestoploss']","{'params': {'tpmultiplicator': 1.0, 'slmultiplicator': 0.2, 'st_length': 7.0, 'st_multiplier': 4.5, 'ema_short_windows': 30.0, 'ema_long_windows': 100.0}}"
