,finalBalance,totalTrades,drawDown,startingBalance,configs,parametres
0,0.0,0,0.0,1000.0,0,0
1,44.66022479463349,1901,35.96,63.0,"['DEFAULT', 'params', 'CONFIGS', 'STRATEGIE', 'FICHIER.HISTORIQUE']","{'params': {'tpmultiplicator': 1.0, 'slmultiplicator': 0.1, 'st_length': 10.0, 'st_multiplier': 3.5, 'ema_short_windows': 5.0, 'ema_long_windows': 100.0}}"
2,50.46382183261124,1388,27.49,63.0,"['DEFAULT', 'params', 'CONFIGS', 'STRATEGIE', 'FICHIER.HISTORIQUE']","{'params': {'tpmultiplicator': 1.5, 'slmultiplicator': 0.1, 'st_length': 10.0, 'st_multiplier': 3.5, 'ema_short_windows': 5.0, 'ema_long_windows': 100.0}}"
3,57.09532690651178,1070,26.46,63.0,"['DEFAULT', 'params', 'CONFIGS', 'STRATEGIE', 'FICHIER.HISTORIQUE']","{'params': {'tpmultiplicator': 2.0, 'slmultiplicator': 0.1, 'st_length': 10.0, 'st_multiplier': 3.5, 'ema_short_windows': 5.0, 'ema_long_windows': 100.0}}"
4,60.48299932634308,924,21.16,63.0,"['DEFAULT', 'params', 'CONFIGS', 'STRATEGIE', 'FICHIER.HISTORIQUE']","{'params': {'tpmultiplicator': 2.5, 'slmultiplicator': 0.1, 'st_length': 10.0, 'st_multiplier': 3.5, 'ema_short_windows': 5.0, 'ema_long_windows': 100.0}}"
5,62.282595043599,781,22.84,63.0,"['DEFAULT', 'params', 'CONFIGS', 'STRATEGIE', 'FICHIER.HISTORIQUE']","{'params': {'tpmultiplicator': 3.0, 'slmultiplicator': 0.1, 'st_length': 10.0, 'st_multiplier': 3.5, 'ema_short_windows': 5.0, 'ema_long_windows': 100.0}}"
6,67.0877906435235,701,19.63,63.0,"['DEFAULT', 'params', 'CONFIGS', 'STRATEGIE', 'FICHIER.HISTORIQUE']","{'params': {'tpmultiplicator': 3.5, 'slmultiplicator': 0.1, 'st_length': 10.0, 'st_multiplier': 3.5, 'ema_short_windows': 5.0, 'ema_long_windows': 100.0}}"
7,55.99498066249697,672,21.75,63.0,"['DEFAULT', 'params', 'CONFIGS', 'STRATEGIE', 'FICHIER.HISTORIQUE']","{'params': {'tpmultiplicator': 4.0, 'slmultiplicator': 0.1, 'st_length': 10.0, 'st_multiplier': 3.5, 'ema_short_windows': 5.0, 'ema_long_windows': 100.0}}"
8,68.98340329293217,625,21.88,63.0,"['DEFAULT', 'params', 'CONFIGS', 'STRATEGIE', 'FICHIER.HISTORIQUE']","{'params': {'tpmultiplicator': 4.5, 'slmultiplicator': 0.1, 'st_length': 10.0, 'st_multiplier': 3.5, 'ema_short_windows': 5.0, 'ema_long_windows': 100.0}}"
9,53.399625226294894,576,24.07,63.0,"['DEFAULT', 'params', 'CONFIGS', 'STRATEGIE', 'FICHIER.HISTORIQUE']","{'params': {'tpmultiplicator': 5.0, 'slmultiplicator': 0.1, 'st_length': 10.0, 'st_multiplier': 3.5, 'ema_short_windows': 5.0, 'ema_long_windows': 100.0}}"
10,49.96578069861231,1502,30.63,63.0,"['DEFAULT', 'params', 'CONFIGS', 'STRATEGIE', 'FICHIER.HISTORIQUE']","{'params': {'tpmultiplicator': 1.0, 'slmultiplicator': 0.2, 'st_length': 10.0, 'st_multiplier': 3.5, 'ema_short_windows': 5.0, 'ema_long_windows': 100.0}}"
11,62.03806773915894,1462,23.59,63.0,"['DEFAULT', 'params', 'CONFIGS', 'STRATEGIE', 'FICHIER.HISTORIQUE']","{'params': {'tpmultiplicator': 1.0, 'slmultiplicator': 0.30000000000000004, 'st_length': 10.0, 'st_multiplier': 3.5, 'ema_short_windows': 5.0, 'ema_long_windows': 100.0}}"
12,63.159967084072136,1453,21.88,63.0,"['DEFAULT', 'params', 'CONFIGS', 'STRATEGIE', 'FICHIER.HISTORIQUE']","{'params': {'tpmultiplicator': 1.0, 'slmultiplicator': 0.4, 'st_length': 10.0, 'st_multiplier': 3.5, 'ema_short_windows': 5.0, 'ema_long_windows': 100.0}}"
13,62.03263544452725,1452,20.99,63.0,"['DEFAULT', 'params', 'CONFIGS', 'STRATEGIE', 'FICHIER.HISTORIQUE']","{'params': {'tpmultiplicator': 1.0, 'slmultiplicator': 0.5, 'st_length': 10.0, 'st_multiplier': 3.5, 'ema_short_windows': 5.0, 'ema_long_windows': 100.0}}"
14,60.80228409294239,1451,22.46,63.0,"['DEFAULT', 'params', 'CONFIGS', 'STRATEGIE', 'FICHIER.HISTORIQUE']","{'params': {'tpmultiplicator': 1.0, 'slmultiplicator': 0.6, 'st_length': 10.0, 'st_multiplier': 3.5, 'ema_short_windows': 5.0, 'ema_long_windows': 100.0}}"
15,59.89802763809731,1460,22.97,63.0,"['DEFAULT', 'params', 'CONFIGS', 'STRATEGIE', 'FICHIER.HISTORIQUE']","{'params': {'tpmultiplicator': 1.0, 'slmultiplicator': 0.7, 'st_length': 10.0, 'st_multiplier': 3.5, 'ema_short_windows': 5.0, 'ema_long_windows': 100.0}}"
16,61.79034983865262,1461,22.55,63.0,"['DEFAULT', 'params', 'CONFIGS', 'STRATEGIE', 'FICHIER.HISTORIQUE']","{'params': {'tpmultiplicator': 1.0, 'slmultiplicator': 0.7999999999999999, 'st_length': 10.0, 'st_multiplier': 3.5, 'ema_short_windows': 5.0, 'ema_long_windows': 100.0}}"
17,58.800538484559496,1461,23.37,63.0,"['DEFAULT', 'params', 'CONFIGS', 'STRATEGIE', 'FICHIER.HISTORIQUE']","{'params': {'tpmultiplicator': 1.0, 'slmultiplicator': 0.8999999999999999, 'st_length': 10.0, 'st_multiplier': 3.5, 'ema_short_windows': 5.0, 'ema_long_windows': 100.0}}"
18,58.960209484537096,1461,24.19,63.0,"['DEFAULT', 'params', 'CONFIGS', 'STRATEGIE', 'FICHIER.HISTORIQUE']","{'params': {'tpmultiplicator': 1.0, 'slmultiplicator': 0.9999999999999999, 'st_length': 10.0, 'st_multiplier': 3.5, 'ema_short_windows': 5.0, 'ema_long_windows': 100.0}}"
